controlno,Title,Author,Callno,Accession,Copyright,Quantity
70710163603,'Digital design',"Mano, M. Morris",005.1 M285 07E,36736,2007,1
70711140006,'Basic concepts and methods in research',"Ardales, Venancio B.",001.4 A676 08,37210,2008,1
70912081556,'Introduction to humanities',"Estolas, Josefina V.",001.3 E81 11E,"38003, 38004",2011,2
71211112043,'Presentation program',"Shelly, Gary B.",005.3 S545 08E,37110,2008,1
71211112207,'Spreadsheet application',"Shelly, Gary B.",005.3 S545 08E SA,37109,2008,1
71211112352,'Word processing',"Shelly, Gary B.",005.3 S545 08E WP,37111,2008,1
71211112524,'Office 2010 for Dummies',"Wang, Wallace",005.3682 W246 10E,37108,2010,1
71211113206,'Database management systems',"Pratt, Philip J.",005.74 P916 10E,"37115, 37116",2010,2
71211140654,'MySQL',"DuBois, Paul",005.133 D816 09E,"37097, 37096",2009,2
71212112241,'Software engineering',"Khurana, Rohit",005.1 K45 10E,37665,2010,1
71212112350,'Software engineering',"Sommerville, Ian",005.1 S697 11E,37652,2011,1
71212112449,'Web design',"Sklar, Joel",005.74 S628 12E,37946,2012,1
71212112544,'Campus journalism and school paper advising',"Cruz, Ceciliano-Jose",070.4 C957 10E,37714,2010,1
71416141647,'HTML5 and CSS3 : introductory',"Vodnik, Sasha",005.1 V872 12E,39464,2012,1
71416141843,'An object-oriented approach to programming logic and design',"Farrell, Joyce",005.115 F245 13E,"39471, 39472",2013,2
71416142030,"'Database systems: models, languages, design and application programming'","Elmasri, Ramez",005.74 E48 11E,39468,2011,1
71816125254,'Modern database management',"Hoffer, Jeffrey A.",005.74 H698 13E,39495,2013,1
71816133456,'HTML and CSS3',Jemma Development Group,005.1 J49 13E,"39475, 39474, 39473",2013,3
71816133702,"'Database principles ; design, implementation and management fundamentals'","Coronel, Carlos",005.74 C822 12E,39483,2012,1
72116110222,'Connection networks',Cisco Networking Academy,004.6 C579 14E CN,39491,2014,1
72116110334,'Scaling networks: lab manual',Cisco Networking Academy,004.6 C579 14E SN,"39476, 39477",2014,2
72216153451,'Website building with Joomla!',"Boydon, Ernesto C",004.678 B789 11E,"39486, 39484, 39485",2011,3
72412133917,'Systems analysis and design',"Shelly, Gary B.",003 S545 12E,37917,2012,1
80111153310,'Computer graphics',"Sinha, Amarendra",006.68 S617 10E,37118,2010,1
80208201623,'Systems analysis and design',"Shelly, Gary B.",003 S545,35719,2005,1
80208201827,'Software engineering',"Bell, Douglas",005.1 B433,"35733, 35734",2002,2
80208202018,'Visual basic.net',"Dietel, H. M.",005.118 D324,"35723, 35724",2004,2
80208202221,'Microsoft visual c#.net programming',"Doyle, Barbara",005.3684 D754,35721,2007,1
80208203036,'Data structures and algorithms in C++',"Drozdek, Adam",005.73 D793,35720,2007,1
80208203743,'Introduction to visual foxpro 6.0',"Pepito, Copernicus P.",005.74 P422,"35730, 35728, 35729",2005,3
80208204110,'Assessment of secondary school libraries in Nueva Ecija',"Talavera, Patricia C.",D 027.4 T137,35854,2008,1
80811111331,'Ang bagong pamahayagan sa Filipino',"Matienzo, Narciso V.",079 M433 10E,37392,2010,1
80812114907,'Introduction to the humanities',"Sanchez, Custodiosa A.",001.3 S211 11E,"37770, 37771",2011,2
80812115051,'Software engineering',"Bell, Douglas",005.1 B433 02E,37733,2002,1
81114161507,'The C programming language',"Ritchie, Dennis M.",005.13 R599 12E,"38658, 38648",2012,2
81114162512,'C++ programming : problem analysis to program design (Lab. Manual)',"Scholl, Judy",005.13 S368 12E,38657,2012,1
81114162932,'Introduction to programming with C++',"Zak, Diane",005.133 Z21 12E,38651,2012,1
81114163403,"'Simple powerpoint 2007, fully illustrated'","Andes, Mhery-Ann",005.3 A552 09E,38649,2009,1
81114164014,'Visual guide Microsoft word 2010',Jemma Development Group,005.3 J49 11E,38655,2011,1
81214090247,'Introduction to Java 6 programming',"Pepito, Copernicus P.",005.3 P422 09E,38660,2009,1
81214092747,'Visual guide : PHP and MySQL',Jemma Development Group,005.74 J49 12E,"38652, 3865",2012,2
81214142047,'Visual guide Adobe Flash CS 6',Jemma Development Group,006.77 J49 13E,38653,2013,1
82312132956,'Introduction to visual basic 2008 programming',"Pepito, Copernicus P.",005.118 P422 11E,"37788, 37789",2011,2
82312133058,'Basic concept of journalism',"Dash, Ajay",070.4 D229 07E,37732,2007,1
82312133201,'Journalism handbook',"Pangilinan, Estelita C.",070.4 P191 11R,37655,2011,1
82609080252,'Introduction to visual C++ 6.0 programming',"Pepito, Copernicus P.",005.118 P422,"36136, 36137",2007,2
82609081455,'SAMS teach yourself C++ in 24 hours',"Liberty, Jesse",005.133 L695 05E,36134,2005,1
82609081728,'Java programming',"Malik, D. S.",005.3042 M251 08E,36122,2008,1
82609083858,'Modern database management',"Hoffer, Jeffrey A.",005.74 H698 05E,36130,2005,1
82609084351,'Multimedia and web design',"Abante, Marmelo V.",006.7 A116 09E,"36141, 36142",2009,2
82609143010,'Ruby',"Berman, Jules J.",005.3 B516 09E,36124,2009,1
82609144618,'Data structures and algorithms in Jaa',"Drozdek, Adam",005.3042 D793 07E,36135,2007,1
82609145246,'Java',"Drozdek, Adam",005.3042 D793 08E,36131,2008,1
82609151121,'Fundamentals of Java AP computer science essentials for the A and AB exam',"Lambert, Kenneth A.",005.3042 L222 07E,36120,2007,1
82609152655,'IBM PC assembly language and programming',"Able, Peter",005.456 A141,36128,2002,1
82609160534,'System and web development dreamweaver 8',"Abante, Marmelo V.",006.7 A117 8D,"36139, 36140",2009,2
82609161610,'Adobe dreamweaver CS3 illustrated',"Bishope, Sherry",006.7 B622,36121,2008,1
82709111500,'Systems analysis and design',"Shelly, Gary B.",003 S545,36125,2005,1
82709144317,'Introduction to visual C# 2008 programming',"Pepito, Copernicus P.",005.118 P422 08EC,36183,2008,1
82709152855,'Introduction to visual C++ 2008 programming',"Pepito, Copernicus P.",005.118 R422 08VP,36184,2008,1
82709153924,'Introduction to visual basic 2008 programming',"Pepito, Copernicus P.",005.118 P422 09E,36179,2009,1
82709160239,'Macromedia flash MX 2004 design professional',"Shuman, Jim",006.7 S562,36185,2006,1
91207152631,'The secret of success',"Allen, James",001.0 A427,30559,1980,1
91207152910,'Successful achievement',"Bremer, Sidney N.",001.1 B836,"30524, 30523, 30521, 30522",1988,4
91207153216,'The law of success',"Hill, Napoleon",001.1 H647,31543,1968,1
91207153735,'The development of western thought',The Committee on the Humanities,001.3 C734,"33333, 1417, 19366C1, 20017, 20018",1976,5
91207154033,'Humanities for college students',"Espina, Felicidad P.",001.3 E77,"34773, 34772",2004,2
91207154345,'Introduction to humanities (arts for fine living)',"Estolas, Josefina V.",001.3 E81,"527C3, 32384C6, 32384C5, 32383, 1105, 1104",1995,6
91207154648,'The humanities in western culture',"Lamm, Robert C.",001.3 L232,"31914, 31910",1989,2
91207154830,'A humane experience',"Lamucho, Victoria S.",001.3 L241,"33928, 33929",2003,2
91207160530,'Introduction to the humanities',"Sanchez, Custodiosa A.",001.3 S211,33320,2002,1
91207162052,'The arts',"Tan, Arsenia B.",001.3 T161,"32390, 32062",1992,2
91307083707,'Humanities series a man in search of meaning',Textbook Development Committee DLSU,001.3 T355,"19050, 19051, 19073, 19072",1974,4
91307083950,'Introduction to the humanities',"Van de Bogart, Doris",001.3 V225,"5688, 5687, 19853C1",1970,3
91307084254,'The living tradition',"Vyverberg, Henry",001.3 V998,18548,1978,1
91307084441,'The humanities cultural roots and continuities',"Witt, Mary Ann Frese",001.3 W827 2,"31870, 32000C1, 31869C3, 31865C2",1989,4
91307084734,'The humanities',"Zulueta, Francisco M.",001.3 Z94,"252, 250, 32738",1994,3
91307084857,'The humanities',"Zulueta, Francisco M.",001.3 Z94 RE,"33568, 34711, 34712",2003,3
91307085031,'Research and thesis writing',"Adeva, Jose Arias",001.4 A233,32853,1974,1
91307085212,'Essentials of research and thesis writing',"Aquino, Gaudencio",001.4 A657,"19861, 19862",1971,2
91307085529,'How to write a term paper',"Aquino, Gaudencio V.",001.4 A657,"34595, 34594",2005,2
91307085658,'Writing a thesis proposal',"Arboleda, Cora R.",001.4 A666,33643,2003,1
91307085842,'Method of research and thesis writing',"Calderon, Jose F.",001.4 C146,"567, 33530, 33529, 1085",2004,4
91307090252,'Foundation of home economics research',"Compton, Norma H.",001.4 C738,7814,1972,1
91307090632,'Guidebook on thesis writing',"De Jesus, Belen",001.4 D226,541,1984,1
91307091004,'Fundamentals of research',"Estolas, Josefina V.",001.4 E81,19464,1973,1
91307143716,'Guide to thesis writing (text and workbook)',"Garcia, Alipio M.",001.4 G216,33645,1999,1
91307144128,'Methods of research',"Good, Carter V.",001.4 G646,19009,1972,1
91307160056,'Doing counseling research',"McLeod, John",001.4 M165,33997,2003,1
91307164039,'A guide to writing papers',"Martin, Edward J.",001.4 M379,31847,1992,1
91307164214,'Research and technical writing',"Portillo, Reynaldo R.",001.4 P852 03E,35454,2003,1
91307164424,'Communication research',"Rubin, Rebecca B.",001.4 R896,"30066, 30068, 30070",1986,3
91510113521,'Simple flash CS3 illustrated',"Andres, Mhery-Ann",006.7 A552 SFC,36844,2008,1
91510113712,'Web design',Jemma Development Group,005.74 J49 WD,36837,2010,1
91510113856,'Understanding operating systems',"McHoes, Ann Melver",005.43 M151 OS 09E,36830,2009,1
91510114438,'Operating systems',"Deitel, H. M.",005.43 D325 OS,36839,2004,1
91510132642,'Office productivity with MS office 2007',Jemma Development Group,005.269 J49 OP 10E,36838,2010,1
91510132923,'C programming language',"Robles, Jonathan A.",005.13 R660 CPL,36843,2008,1
91510133237,'Software engineering',"Pressman, Roger S.",005.1 P935 05E,36831,2005,1
91510133414,'Workbook in C progamming',"Gatpandan, Paulino H.",005.1 G261 05E,36836,2009,1
91510133623,'Routing protocols and concepts',"Graziani, Rick",004.62 G785 RPC 08,36842,2008,1
91707081651,'Methods and techniques of research',"Sanchez, Custodiosa, Ancheta",001.4 S211,"19465, 818","1980, 1998",2
91707081954,'An introduction to research methods',"Sevilla, Consuelo G.",001.4 S511,32094,1984,1
91707082139,'Research methods',"Sevilla, Consuelo G.",001.4 S511,147,1992,1
91707082243,"'A manual for writers of term papers, theses and dissertations'","Turabian, Kate L.",001.4 T929,"33557, 33558",1996,2
91707082458,'Functional guide to thesis / dissertation writing',"Villaflores, Pedro G.",001.4 V713,"33936, 33937",2003,2
91707083039,"'Methods of reseach, thesis writing and applied statistics'","Zulueta, Franciso M.",001.4 Z94,33656,2003,1
91707083644,'Conducting research',"Catane, Juliet A.",001.42 C357,"33144, 33158",2002,2
91707090325,'Methods in behavioral research',"Cozby, Paul C.",001.42 C882,"18781, 18782",1977,2
91707092116,'Social research',"Reyes, Milagros Z.",001.42 R457,"34841, 34620, 34842",2004,3
91707092248,'Practical guide to thesis and dissertation writing',"Rivera, Maximiano M. Jr.",001.42 R621,"33145, 33146",1996,2
91707094743,'Forecasting for control and profit',"Bowers, David A.",003.2 B786,34905,2004,1
91707095654,'Information technology fundamentals',"Albano, Gisela A.",004 A326,"33921, 801, 33920",2000,3
91707105020,'Introduction of computer',"Andes, Antonio M. Sr.",004 A549,33990,2003,1
91707105200,"'User''s manula for IBM, PC, XT, AT and compatible'",Anonymous,004 A615,"354, 352",[19 - ?],2
91707105323,'The PC answer book',"Barrett, Pat",004 B274,269,1992,1
91707105451,'Computer literacy',"Bitter, Gary G.",004 B624,32590,1986,1
91707160804,'Computer and data processing',"Capron, H. L.",004 C254 CD,31212,1982,1
91707161148,'Computers',"Capron, H. L.",004 C254,"31949, 31802, 31800, 31801",1990,4
91707161354,'Teach yourself access 1.1 in a week',"Cassel, Paul",004 C344,1281,1993,1
91707163133,'Norton utilities 6 quick reference',"De Jesus, Edmund X.",004 D326,"31646, 31647",1992,2
91707163347,'Simplified computer math and electronics projects',"Faina, Segundo Andres",004 F162,"31626, 31625, 31624",1992,3
91707163529,'Computer science',"Goldschlager, Les",004 G623,32103,1988,1
91807083453,'New PCs for dummies',"Gookin, Dan",004 G659,31653,1992,1
91807084108,'Microcomputer applications',"Grauer, Robert",004 G774 3E,"275, 276, 274",1991,3
91807084317,'Computers',"Hutchinson, Sarah E.",004 H978,31261,1990,1
91807084538,'Using dBase III',"Jones, Edward",004 J77 3,"31664, 33279",1985,2
91807084845,'The IBM / PC guide',"Kelley, James E. Jr.",004 K29,32292,1983,1
91807090331,'Introduction to computers and information processing',"Long, Larry",004 L849,"31955, 31810, 31898SG",1991,3
91807091114,'Introduction to computers and information system',"Long, Larry",004 L848,"32303, 32304, 32305",1994,3
91807091253,'Introduction to computers and infomation systems',"Long, Larry",004 L849 IE,830,1998,1
91807091541,'Fix your own PC',"McLaughlin, Robert",004 M161,32408,1990,1
91807094631,'Digital computer electronics',"Malvino, Albert Paul",004 M262,"32301, 32302",1993,2
91807094820,'Study guide to accompany computers and information processing',"Mandell, Steven L.",004 M271 SG,31997,1992,1
91807134339,'Computer concepts and applications',"O Brien, James A.",004 O13,"31809, 31813, 31812",1989,3
91807134532,'Understanding computers and information processing',"Parket, Charles S.",004 P238,"31930, 31993, 31854SG, 31993A, 31992, 31815, 31816",1992,7
91807143354,'Pascal',"Pratt, Terrence",004 P917,75,1990,1
91807143501,'Computers today',"Sanders, Donald H.",004 S215,32120,1988,1
91807144434,'Microsoft word 2000 complete concepts and techniques',"Shelly, Gary B.",004 S545,34295,2000,1
91807144606,'dBase IV PC tutor',"Zumsteg, John",004 Z94,33613,1991,1
91807144716,'Introduction to computer science',"Zwass, Vladimir",004 X97,"31650, 31651",1981,2
91807144937,'Introduction to computers and basic programming (computers and society)',"Management Dynamics, Inc.",004.16 M266,"31622, 32102, 32101, 31634",1993,4
91807145356,'Introduction to systems analysis and design',"Hawryszkiewycz, I. T.",004.21 H397,"32279, 32278",1991,2
91807152252,'Computer architecture and logic design',"Bartee, Thomas C.",004.22 B283,272,1991,1
91807154148,'Computer organization and architecture',"Stallings, William",004.22 A782,71,1990,1
91807155242,'Managing your hard disk',"Berliner, Don",004.56 B515,74,1989,1
91807160303,'Hard disk management',"Wolverton, Van",004.56 W869,72,1991,1
91807160845,'Lenk''s laser handbook',"Lenk, John D.",004.565 L566,32119,1992,1
91807161256,"'Data communications, computer networks and open systems'","Halsall, Fred",4.6,35489,1996,1
91807162535,'Internet system handbook',"Lynch, Daniel C.",004.6 L987,833,1993,1
91807162931,'Computer networks',"Tanembaum, Andrew S.",004.6 T164,34696,2003,1
91907075446,'Data communication and networking',"Tomasi, Wayne",004.6 T655 05E,"35507, 35506",2005,2
91907094054,'Cabling',"Barnett, David",004.64 B261 04E,35460,2004,1
91907094331,'Cisco Networking Academy Program',"Kane, John",004.67 K16 CG,33847,2004,1
91907094503,'Cisco Networking Academy Program',"Kane, John",004.67 K16 LC,33846,2004,1
91907094755,'Simple internet',"Andes, Antonio M. Sr.",004.678 A549,"33989, 1121",2000,2
91907095616,'Simple internet fully illustrated',"Andes, Antonio M. Sr.",004.678 A552 06E,35475,2006,1
91907095747,'Internet and world wide web',"Deitel, H. M.",004.678 D325,33845,2002,1
91907102145,'Secrets of designing web sites',"Mangilit, Joel R.",004.678 M277,"35040, 35039, 35038",2001,3
91907104514,'New perspective on creating web pages with HTML',"Carey, Patrick",005.1 C275,828,1998,1
91907105028,'PC basic',"Davis, William S.",005.1 D265,32098,1988,1
91907105439,'Simple program and logic formulation',"De La Rosa, Jerald Herrera",005.1 D339,"33961, 33962",2004,2
91907105734,'DOS programmer''s reference',"Dettmann, Terry",005.1 D483,263,1993,1
91907110704,'HTML complete',"Ehlen, Anamary",005.1 E33,826,2000,1
91907111736,'Turbo pascal 7 handbook',"Feibel, Werner",005.1 F297,32123,1993,1
91907111848,'Pascal with applications in science and engineering',"Finger, Susan",005.1 F497,31885,1986,1
91907112522,'Hands-on turbo basic',"Goldstein, Larry Joel",005.1 G624 B,32410,1989,1
91907112659,'Hands-on turbo C',"Goldstein, Larry Joel",005.1 G624 C,32409,1989,1
91907113125,'Database management using dBase IV and SQL',"Grauer, Robert",005.1 G774,271,1992,1
91907115511,'Assembler inside and out',"Hahn, Harley",005.1 H148,31665,1992,1
91907115632,'Funadamentals of data structures in Pascal',"Horowitz, Ellis",005.1 H816,68,1987,1
91907151222,'Introduction to computer programming',Unknown,005.1 I61,713,[19 - ?],1
91907151629,'Introduction to computer programming',Unknown,005.1 I61,719,[19 - ?],1
91907152053,'Programmer''s problem solver',"Jourdain, Robert",5.1,268,1992,1
91907152356,'Basic for introductory computing',"Long, Larry",005.1 L848,31851,1990,1
91907152704,'Cobol',"Longhurst, Jean",005.1 L854,31669,1989,1
91907153051,'Cobol logic and programming',"McCameron, Fritz A.",005.1 M122,31661,1985,1
91907153553,'The Peter Norton PC programmer''s bible',"Norton, Peter",005.1 N886,32412,1985,1
91907153714,'Using turbo pascal for windows',"Perry, Paul J.",005.1 P464,76,1992,1
91907155012,'Software engineering',"Pressman, Roger S.",005.1 P935,787,1992,1
91907155224,'Using HTML',"Randall, Neil",005.1 R188,829,1996,1
91907155404,'Born to code in C',"Schildt, Herbert",005.1 S331,32118,1989,1
91907155938,'Algorithms and data structure',"Wirth, Niklaus",005.1 W799,32413,1986,1
91907160115,'An object-oriented approach to programming logic and design',"Farrell, Joyce",005.115 F245,35463,2006,1
92107082124,'Logic and computer design fundamental',"Mano, M. Morris",005.115 M285 04E,"35505, 35504",2004,2
92107083804,'Sams teach yourself visual basic 6 in 21 days',"Perry, Greg",005.118 P463,35473,1998,1
92107084340,'The C programming language',"Kerninghan, Brian W.",005.13 K39,266,1988,1
92107084918,'Programming languages',"Sethi, Ravi",005.13 S495,70,1989,1
92107085136,'The C++ programming language',"Stroustrup, Bjarne",005.13 S925,788,1997,1
92107085345,'Introduction to fortran',"Vinturella, John B.",005.13 V468,32584,1975,1
92107090459,'Vax fortran',"Weinman, David G.",005.13 W424,32008,1986,1
92107102255,'Structured COBOL',"Fenton, J. Patrick",005.133 F342,"30104, 30103, 30102, 30101, 30105",1988,5
92107102527,'Introduction to turbo C programming',"Pepito, Copernicus",005.133 P422,33844,2003,1
92107102728,'Java script',"Shelly, Gary B.",005.133 S545,33843,2001,1
92107102922,'An itroduction to object-oriented programming with java',"Wu, C. Thomas",005.133 W959,"33842, 34007",2002,2
92107104352,'Introduction to PC hardware and thoubleshooting',"Meyers, Michael",005.16 M613 06E,"35494, 35493",2006,2
92107112000,'Microcomputers troubleshooting and repair',"Stephenson, John G.",005.16 S836,31668,1988,1
92107112119,'Hands-on turbo pascal',"Goldstein, Larry Joel",005.265 G624,32411,1991,1
92107112309,'Simple windows word and excel XP fully illustrated',"Andes, Antonio Sr.",005.269 A552 04E,"35486, 35485",2004,2
92107112900,'Simple word 2003 fully illustrated',"Andes, Antonio M. Sr.",005.269 A552 06E,35474,2006,1
92107113028,'Microsoft office XP',"Harina, Ricardo M.",005.269 H281 05E,35466,2005,1
92107113142,'Simple corel draw 12',"Andes, Antonio M. Sr.",005.3 A549 CD,"33965, 33966",2005,2
92107113324,'Simple corel photopaint 12',"Andes, Antonio M. Sr.",005.3 A549 PP,"33969, 33970",2004,2
92107113610,'Simple excel XP',"Andes, Antonio M. Sr.",005.3 A549 XP,33967,2003,1
92107113918,'Simple page maker 7.0',"Andes, Antonio M. Sr.",005.3 A549 PM,"33964, 33963",2003,2
92107114353,'Simple powerpoint',"Andes, Antonio M. Sr.",005.3 A549 SP,33991,2003,1
92107114619,'Simple windows XP',"Andes, Antonio M. Sr.",005.3 A549 WXP,"33972, 33971",2003,2
92107114752,'Simple word',"Andes, Antonio M.",005.3 A549 MW,"33988, 33987",2002,2
92107114938,'Simple excel 2000 fully illustrated',"Andes, Antonio M. Sr.",005.3 A552,831,1999,1
92107115339,'Simple power point fully illustrated',"Andes, Antonio Sr.",005.3 A552 05E,35476,2005,1
92107144009,'Using appleworkds',"Aron, Arthur",005.3 A769,31751,1989,1
92107144323,'Turbo c',Borland International,005.3 B735 RG,33687,1989,1
92107144620,'Turbo c',Borland International,005.3 B735 UG,33686,1989,1
92107144949,'Using PC tooks 7.1',"Bruce, Walter R. III",005.3 B887,31663,1992,1
92107150526,'Computing fundamentals lotus 1-2-3 release 2.0/2.2',"Byrkett, Donald",005.3 B995,"31636, 31637",1990,2
92107150922,'Simply windows',"Campbell, Mary",005.3 C189,786,1992,1
92107155153,'Lotus 1-2-3 simplified for the IBM personal computer',"Cassel, Don",005.3 C344,"32298, 31621, 31620",1986,3
92207085138,'Electronic spreadsheets using 1-2-3',"Crisostomo, Conchita Camba",005.3 C932,33173,1989,1
92207090806,'Programming in pascal',"Dale, Nell",005.3 D139,31884,1990,1
92207111452,'Computing fundamentals',"Davis, William S.",005.3 D265,31660,1993,1
92207111704,'Wordstar 4.0 made easy',"Ettlin, Walter A.",005.3 E84,"31644, 31645",1987,2
92207112333,'Start here with 1-2-3',"Gasteiger, Daniel",005.3 G255,"31638, 31639",1991,2
92207112505,'Worktext in wordstar 7.0',"Gesmundo, Marlyn T.",005.3 G389,33685,1996,1
92207112743,'Programmed computer learning 2',"Harina, Ricardo M.",005.3 H281,"31627, 31628, 32307",1993,3
92207113313,'Lotus 1-2-3 user''s manual',"Kapor, Mitchell",005.3 K17,32299,1983,1
92207113533,'Using Microsoft works',"Mansfield, Ron",005.3 M287,"31939, 31940, 31941, 31938",1989,4
92407075753,'Appleworks made easy',"Matthews, Carole Boggs",005.3 M438,"31982, 31983",1987,2
92407081454,'Using turbo basic',"Mosher, Frederick E.",005.3 M895,264,1988,1
92407082041,'10 minute guide to lotus 1-2-3 release 2.3',"Murray, Katherine",005.3 M982 10M,31652,1991,1
92407082303,'Using wordstar 7.0',"Murray, Katherine",005.3 M982 UW,"31640, 31641",1992,2
92407082516,'Word perfect workbook for IBM personal computers',Perfect Bound Publishing,005.3 P452,"32296, 32295",1988,2
92407083020,'PC tools 7 made easy',"Pfaffenberger, Bryan",005.3 P698,32124,1991,1
92407083742,'Wordperfect 5.1 quick references',Que Corporation,005.3 Q3,32414,1990,1
92407084543,'LANtastic made easy',"Rugg, Tom",005.3 R929,32125,1992,1
92407085105,'Windows 95 programming nuts and bolts',"Schildt, Herbert",005.3 S334,34325,1995,1
92407091637,'Organize',"Schwartz, Helen J.",005.3 S399,"30083, 30084, 30082, 30081, 30085",1987,5
92407091936,'Microsoft excel 2000 complete concepts and techniques',"Shelly, Gary B.",005.3 S545,34294,2000,1
92407092115,'Teach yourself... C',"Siegel, Charles",005.3 S571,33676,1990,1
92407092307,'Assembler language for application programming',"Stabley, Don H.",005.3 S775,31861,1982,1
92407160759,'The complete textbook of lotus 1-2-3',"Stark, Robin",005.3 S795,31739,1990,1
