controlno,Title,Author,Callno,Accession,Copyright
91509133128,Basic business statiship,"Berenson, Mark L.",310 B489 06E,36150,
112907142845,Primer on the cooperative code of the Philippines (R. A. No. 6938),"Aquino, Agapito (Butz)",346.0668 A657,30584,[19 - ?]
112107145243,Philippine agrarian reform and the new taxation,"Espiritu, Socorro C.",333.31 E77,31444,[19 - ?]
101607152923,Sociology and social living,"Espiritu, Socorro C.",301 E77 S,19036,[19 - ?]
111507085734,Homosexuality the identity crisis,"Jagad, Guru",306.766 J24,30579,[19 - ?]
120307105041,Notes on the laws on negotiable instruments and documents of title,"Mapanao, Jesus P.",346.096 M297,30993,[19 - ?]
112907140232,Primer on agrarian reform,Agrarian Reform,346.044 A615 EV,20691,[19 - ?]
112107151551,Module II natural resources,"Fabro, Julia Miranda",333.7 F131,F-70,[19 - ?]
111607112623,The parliamentary system,"Duavit, Gilberto M.",320.599 D812,33307,[19 - ?]
112107151551,Module II natural resources,"Fabro, Julia Miranda",333.7 F131,F-68,[19 - ?]
112907110911,Athletics rules,Anonymous,344.099 A615,32028,[19 - ?]
111307103636,The complexities of change,Center for Research and Communication,303.4 C397,5601,[19 - ?]
111407135835,The women of Indonesia,Department of Information Republic of Indonesia,305.4 D419,20368,[19 - ?]
112907153748,Business law and the regulatory environment,"Metzger, Michael B.",346.07 M596,31683,[19 - ?]
111907141128,Compadre colonialism,"Owen, Norman G.",327 O97,124,[19 - ?]
112707090723,Elementary microeconomics,"Vicente - Goli, Yolanda",338.5 V632,19852,[19 - ?]
112107151551,Module II natural resources,"Fabro, Julia Miranda",333.7 F131,F-69,[19 - ?]
111607100601,Manual in college statistics,"Utzurrum, Jonathan B.",310 U93 MCS,20498,[19 - ?]
111307103636,The complexities of change,Center for Research and Communication,303.4 C397,5584,[19 - ?]
112607103110,Guide to preparing project proposals and feasibility studies for Philippine agribusiness,"Domingo, Vicente L.",338.1 D671,19821,[19 - ?]
112207142103,Interest table 1% - 50%,"Gittinger, J. Price",336.2426 G536,635,[19 - ?]
112907110911,Athletics rules,Anonymous,344.099 A615,32029,[19 - ?]
112207142103,Interest table 1% - 50%,"Gittinger, J. Price",336.2426 G536,19706,[19 - ?]
